Race - Ethnicity,Fiscal Year Released,Sex,Age At Release,Convicting Offense Classification,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison
White - Non-Hispanic,2011,F,49.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,F,49.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,F,49.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,F,21.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,Serious Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,66.87,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,66.87,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,66.87,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,66.87,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,21.5,Aggravated Misdemeanor,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,21.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,21.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,21.5,D Felony,OWI,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,F,39.5,D Felony,OWI,Parole,1JD,No
White - Non-Hispanic,2011,F,39.5,D Felony,OWI,Parole,2JD,No
White - Non-Hispanic,2011,F,39.5,D Felony,OWI,Parole,6JD,No
White - Non-Hispanic,2011,F,39.5,D Felony,OWI,Parole,7JD,No
White - Non-Hispanic,2011,F,39.5,D Felony,OWI,Parole,8JD,No
White - Non-Hispanic,2011,F,49.5,D Felony,OWI,Parole,2JD,No
White - Non-Hispanic,2011,F,66.87,D Felony,OWI,Parole,Interstate Compact,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,1JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,1JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,1JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,2JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,2JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,2JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,2JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,2JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,4JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,5JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,5JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,5JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,5JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,5JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,5JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,5JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,6JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,6JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,6JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,6JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,6JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,6JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,7JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,7JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,8JD,No
White - Non-Hispanic,2011,M,29.5,Aggravated Misdemeanor,OWI,Parole,Interstate Compact,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,Interstate Compact,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,8JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,Interstate Compact,No
White - Non-Hispanic,2011,M,29.5,D Felony,OWI,Parole,Interstate Compact,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,1JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,1JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,2JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,2JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,3JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,4JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,5JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,5JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,5JD,No
White - Non-Hispanic,2011,M,39.5,Aggravated Misdemeanor,OWI,Parole,5JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,6JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,6JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,6JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,6JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,7JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,7JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,8JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,8JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,Interstate Compact,No
White - Non-Hispanic,2011,M,39.5,D Felony,OWI,Parole,Interstate Compact,No
White - Non-Hispanic,2011,M,49.5,Aggravated Misdemeanor,OWI,Parole,1JD,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Parole,1JD,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Parole,1JD,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Parole,2JD,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Parole,3JD,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Parole,3JD,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Parole,4JD,No
White - Non-Hispanic,2011,M,49.5,Aggravated Misdemeanor,OWI,Parole,5JD,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Parole,5JD,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Parole,6JD,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Parole,6JD,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Parole,7JD,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Parole,8JD,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Parole,8JD,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Parole,8JD,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Parole,8JD,No
White - Non-Hispanic,2011,M,49.5,D Felony,OWI,Parole,N/A,No
White - Non-Hispanic,2011,M,66.87,D Felony,OWI,Parole,3JD,No
White - Non-Hispanic,2011,M,66.87,D Felony,OWI,Parole,4JD,No
White - Non-Hispanic,2011,M,66.87,Aggravated Misdemeanor,OWI,Parole,5JD,No
White - Non-Hispanic,2011,M,66.87,D Felony,OWI,Parole,5JD,No
White - Non-Hispanic,2011,M,66.87,D Felony,OWI,Parole,6JD,No
White - Non-Hispanic,2011,M,66.87,D Felony,OWI,Parole,7JD,No
White - Non-Hispanic,2011,M,66.87,D Felony,OWI,Parole,8JD,No
White - Non-Hispanic,2011,M,21.5,D Felony,OWI,Parole,2JD,No
White - Non-Hispanic,2011,M,21.5,D Felony,OWI,Parole,2JD,No
White - Non-Hispanic,2011,M,21.5,D Felony,OWI,Parole,5JD,No
White - Non-Hispanic,2011,M,21.5,D Felony,OWI,Parole,8JD,No
White - Non-Hispanic,2011,M,21.5,D Felony,OWI,Parole,8JD,No
White - Non-Hispanic,2011,M,21.5,D Felony,OWI,Parole,1JD,No
American Indian or Alaska Native - Non-Hispanic,2011,M,29.5,B Felony,Other Violent,Discharged – End of Sentence,N/A,No
American Indian or Alaska Native - Non-Hispanic,2011,M,39.5,D Felony,Other Violent,Discharged – End of Sentence,N/A,No
American Indian or Alaska Native - Non-Hispanic,2011,M,29.5,C Felony,Other Violent,Parole,5JD,No
Black - Non-Hispanic,2011,F,21.5,D Felony,Other Violent,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,29.5,Aggravated Misdemeanor,Other Violent,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,29.5,D Felony,Other Violent,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,39.5,B Felony,Other Violent,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,39.5,C Felony,Other Violent,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,49.5,B Felony,Other Violent,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,21.5,C Felony,Other Violent,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,21.5,D Felony,Other Violent,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,21.5,D Felony,Other Violent,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,F,29.5,B Felony,Other Violent,Parole,1JD,No
Black - Non-Hispanic,2011,F,29.5,Aggravated Misdemeanor,Other Violent,Parole,1JD,No
Black - Non-Hispanic,2011,F,29.5,C Felony,Other Violent,Parole,3JD,No
Black - Non-Hispanic,2011,M,29.5,B Felony,Other Violent,Parole,5JD,No
Black - Non-Hispanic,2011,M,29.5,C Felony,Other Violent,Parole,6JD,No
Black - Non-Hispanic,2011,M,39.5,D Felony,Other Violent,Parole,1JD,No
Black - Non-Hispanic,2011,M,39.5,B Felony,Other Violent,Parole,3JD,No
Black - Non-Hispanic,2011,M,39.5,D Felony,Other Violent,Parole,8JD,No
Black - Non-Hispanic,2011,M,66.87,D Felony,Other Violent,Parole,5JD,No
Black - Non-Hispanic,2011,M,21.5,B Felony,Other Violent,Parole,5JD,No
White - Hispanic,2011,M,39.5,D Felony,Other Violent,Discharged – End of Sentence,N/A,No
White - Hispanic,2011,M,21.5,Aggravated Misdemeanor,Other Violent,Discharged – End of Sentence,N/A,No
White - Hispanic,2011,F,29.5,C Felony,Other Violent,Parole,Interstate Compact,No
White - Hispanic,2011,F,39.5,Aggravated Misdemeanor,Other Violent,Parole,1JD,No
White - Hispanic,2011,M,29.5,C Felony,Other Violent,Parole,Interstate Compact,No
White - Hispanic,2011,M,39.5,D Felony,Other Violent,Parole,Interstate Compact,No
White - Hispanic,2011,M,21.5,C Felony,Other Violent,Parole,Interstate Compact,No
White - Non-Hispanic,2011,F,29.5,Aggravated Misdemeanor,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,F,29.5,C Felony,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,F,29.5,Aggravated Misdemeanor,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,F,49.5,Aggravated Misdemeanor,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,F,49.5,C Felony,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,F,21.5,Aggravated Misdemeanor,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,B Felony,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,C Felony,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,C Felony,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,C Felony,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,Aggravated Misdemeanor,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,Aggravated Misdemeanor,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,B Felony,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,Aggravated Misdemeanor,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,C Felony,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,B Felony,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,D Felony,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,B Felony,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,B Felony,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,66.87,D Felony,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,21.5,C Felony,Other Violent,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,F,29.5,Aggravated Misdemeanor,Other Violent,Parole,5JD,No
White - Non-Hispanic,2011,M,29.5,B Felony,Other Violent,Parole,1JD,No
White - Non-Hispanic,2011,M,29.5,C Felony,Other Violent,Parole,5JD,No
White - Non-Hispanic,2011,M,29.5,C Felony,Other Violent,Parole,5JD,No
White - Non-Hispanic,2011,M,39.5,B Felony,Other Violent,Parole,2JD,No
White - Non-Hispanic,2011,M,39.5,C Felony,Other Violent,Parole,5JD,No
White - Non-Hispanic,2011,M,39.5,B Felony,Other Violent,Parole,5JD,No
White - Non-Hispanic,2011,M,49.5,B Felony,Other Violent,Parole,1JD,No
White - Non-Hispanic,2011,M,49.5,B Felony,Other Violent,Parole,2JD,No
White - Non-Hispanic,2011,M,49.5,D Felony,Other Violent,Parole,8JD,No
White - Non-Hispanic,2011,M,49.5,B Felony,Other Violent,Parole,8JD,No
White - Non-Hispanic,2011,M,21.5,B Felony,Other Violent,Parole,5JD,No
White - Non-Hispanic,2011,M,21.5,C Felony,Other Violent,Parole,Interstate Compact,No
Black - Non-Hispanic,2011,M,29.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,29.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,29.5,Aggravated Misdemeanor,Other Public Order,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,66.87,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,21.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,F,29.5,D Felony,Other Public Order,Parole,5JD,No
Black - Non-Hispanic,2011,M,29.5,D Felony,Other Public Order,Parole,1JD,No
Black - Non-Hispanic,2011,M,29.5,C Felony,Other Public Order,Parole,6JD,No
White - Hispanic,2011,M,29.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,Aggravated Misdemeanor,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,Aggravated Misdemeanor,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,Aggravated Misdemeanor,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,29.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,Aggravated Misdemeanor,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,Aggravated Misdemeanor,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,66.87,Aggravated Misdemeanor,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,66.87,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,21.5,Aggravated Misdemeanor,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,21.5,D Felony,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,21.5,Aggravated Misdemeanor,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,21.5,Aggravated Misdemeanor,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,21.5,Aggravated Misdemeanor,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,21.5,Aggravated Misdemeanor,Other Public Order,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,F,49.5,D Felony,Other Public Order,Parole,6JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,Other Public Order,Parole,1JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,Other Public Order,Parole,3JD,No
White - Non-Hispanic,2011,M,29.5,D Felony,Other Public Order,Parole,6JD,No
White - Non-Hispanic,2011,M,29.5,Aggravated Misdemeanor,Other Public Order,Parole,8JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,Other Public Order,Parole,5JD,No
White - Non-Hispanic,2011,M,39.5,D Felony,Other Public Order,Parole,Interstate Compact,No
White - Non-Hispanic,2011,M,39.5,D Felony,Other Public Order,Parole,N/A,No
White - Non-Hispanic,2011,M,21.5,D Felony,Other Public Order,Parole,1JD,No
American Indian or Alaska Native - Non-Hispanic,2011,M,29.5,D Felony,Other Drug,Parole,6JD,No
Black - Non-Hispanic,2011,M,29.5,D Felony,Other Drug,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,29.5,D Felony,Other Drug,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,49.5,D Felony,Other Drug,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,21.5,D Felony,Other Drug,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,F,29.5,D Felony,Other Drug,Parole,Interstate Compact,No
Black - Non-Hispanic,2011,M,29.5,D Felony,Other Drug,Parole,3JD,No
Black - Non-Hispanic,2011,M,66.87,D Felony,Other Drug,Parole,7JD,No
Black - Non-Hispanic,2011,M,21.5,D Felony,Other Drug,Parole,2JD,No
White - Hispanic,2011,M,29.5,D Felony,Other Drug,Discharged – End of Sentence,N/A,No
White - Hispanic,2011,M,21.5,D Felony,Other Drug,Discharged – End of Sentence,N/A,No
White - Hispanic,2011,M,29.5,D Felony,Other Drug,Parole,Interstate Compact,No
White - Hispanic,2011,M,39.5,D Felony,Other Drug,Parole,Interstate Compact,No
White - Hispanic,2011,M,49.5,D Felony,Other Drug,Parole,Interstate Compact,No
White - Hispanic,2011,M,21.5,D Felony,Other Drug,Parole,Interstate Compact,No
White - Non-Hispanic,2011,F,39.5,D Felony,Other Drug,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,F,21.5,D Felony,Other Drug,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,39.5,D Felony,Other Drug,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,C Felony,Other Drug,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,M,49.5,Aggravated Misdemeanor,Other Drug,Discharged – End of Sentence,N/A,No
White - Non-Hispanic,2011,F,29.5,D Felony,Other Drug,Parole,2JD,No
White - Non-Hispanic,2011,F,39.5,C Felony,Other Drug,Parole,8JD,No
White - Non-Hispanic,2011,F,39.5,C Felony,Other Drug,Parole,8JD,No
White - Non-Hispanic,2011,M,49.5,D Felony,Other Drug,Parole,2JD,No
White - Non-Hispanic,2011,M,21.5,Aggravated Misdemeanor,Other Drug,Parole,2JD,No
American Indian or Alaska Native - Non-Hispanic,2011,M,49.5,Felony - Enhancement to Original Penalty,Other Criminal,Parole,3JD,No
Black - Non-Hispanic,2011,F,29.5,D Felony,Other Criminal,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,39.5,Felony - Enhancement to Original Penalty,Other Criminal,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,49.5,Felony - Enhancement to Original Penalty,Other Criminal,Discharged – End of Sentence,N/A,No
Black - Non-Hispanic,2011,M,49.5,Felony - Enhancement to Original Penalty,Other Criminal,Discharged – End of Sentence,N/A,No
