Fiscal Year Released,Sex,Age At Release,Convicting Offense Classification,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism Likelihood,Number American Indian or Alaska Native - Non-Hispanic,Number Asian or Pacific Islander - Non-Hispanic,Number Black - Non-Hispanic,Number White - Hispanic,Number White - Non-Hispanic
2011,M,45-54,D Felony,Burglary,Discharged – End of Sentence,N/A,0.25,0,0,2,0,6
2011,M,45-54,Felony - Enhancement to Original Penalty,Other Criminal,Parole,3JD,0.6666666666666666,1,0,0,0,2
2011,M,45-54,B Felony,Trafficking,Parole,1JD,0.14285714285714285,0,0,1,0,6
2011,M,55 and Older,Felony - Enhancement to Original Penalty,Other Criminal,Parole,7JD,1.0,0,0,1,0,0
2011,M,25-34,D Felony,Other Violent,Discharged – End of Sentence,N/A,0.5,0,0,1,0,1
2011,M,Under 25,D Felony,Burglary,Parole,N/A,1.0,0,0,0,0,1
2011,M,Under 25,C Felony,Theft,Parole,5JD,1.0,0,0,0,0,1
2011,M,25-34,Felony - Enhancement to Original Penalty,Other Criminal,Parole,2JD,0.5,0,0,0,0,2
2011,M,25-34,Aggravated Misdemeanor,Theft,Parole,2JD,0.5,0,0,0,0,2
2011,M,25-34,C Felony,Murder/Manslaughter,Discharged – End of Sentence,N/A,0.5,0,0,1,0,1
2011,F,35-44,B Felony,Murder/Manslaughter,Parole,5JD,1.0,0,0,0,0,1
2011,M,35-44,Aggravated Misdemeanor,Burglary,Discharged – End of Sentence,N/A,0.16666666666666666,0,0,1,0,5
2011,M,35-44,B Felony,Trafficking,Discharged – End of Sentence,N/A,0.2,0,1,1,0,3
2011,M,Under 25,D Felony,Forgery/Fraud,Parole,2JD,0.5,0,0,1,0,1
2011,F,25-34,C Felony,Theft,Parole,5JD,0.25,0,0,1,0,3
2011,M,45-54,Felony - Enhancement to Original Penalty,Trafficking,Parole,1JD,0.5,0,0,0,0,4
2011,F,25-34,C Felony,Trafficking,Parole,7JD,0.3333333333333333,0,0,2,0,1
2011,M,35-44,D Felony,Trafficking,Parole,7JD,0.125,0,0,6,0,2
2011,M,25-34,D Felony,Other Drug,Parole,Interstate Compact,0.5,0,0,1,1,0
2011,M,Under 25,D Felony,Other Public Order,Parole,1JD,0.5,0,0,0,0,2
2011,M,Under 25,Aggravated Misdemeanor,Sex,Special Sentence,Interstate Compact,1.0,0,0,1,0,0
2011,M,25-34,Aggravated Misdemeanor,Theft,Parole,7JD,1.0,0,0,0,0,1
2011,M,45-54,D Felony,Theft,Parole,5JD,0.2,0,0,0,0,5
2011,M,Under 25,Aggravated Misdemeanor,Assault,Parole,1JD,1.0,0,0,0,0,1
2011,M,Under 25,Aggravated Misdemeanor,Traffic,Discharged – End of Sentence,N/A,0.25,0,0,0,0,4
2011,M,25-34,Aggravated Misdemeanor,Traffic,Discharged – End of Sentence,N/A,0.1,0,1,1,1,7
2011,F,35-44,D Felony,Forgery/Fraud,Parole,5JD,0.3333333333333333,0,0,1,0,2
2011,M,25-34,D Felony,Burglary,Parole,4JD,0.2,0,0,0,1,4
2011,M,25-34,Aggravated Misdemeanor,Other Violent,Discharged – End of Sentence,N/A,0.3333333333333333,0,0,1,0,2
2011,M,Under 25,C Felony,Other Criminal,Discharged – End of Sentence,N/A,1.0,0,0,0,0,1
2011,M,35-44,Aggravated Misdemeanor,Vandalism,Discharged – End of Sentence,N/A,0.25,0,0,3,0,1
2011,M,25-34,D Felony,Trafficking,Parole,2JD,0.2,0,0,4,0,1
2011,M,35-44,D Felony,Trafficking,Parole,3JD,1.0,0,0,0,0,1
2011,M,25-34,B Felony,Robbery,Parole,1JD,1.0,0,0,0,0,1
2011,F,35-44,D Felony,Drug Possession,Discharged – End of Sentence,N/A,1.0,0,0,1,0,0
2011,F,35-44,C Felony,Burglary,Parole,1JD,0.5,0,0,0,0,2
2011,M,45-54,B Felony,Sex,Discharged – End of Sentence,N/A,0.3333333333333333,0,0,0,0,3
2011,M,25-34,C Felony,Theft,Parole,3JD,1.0,1,0,0,0,0
2011,M,45-54,Aggravated Misdemeanor,Traffic,Discharged – End of Sentence,N/A,0.3333333333333333,0,0,2,0,4
2011,M,55 and Older,C Felony,Trafficking,Discharged – End of Sentence,N/A,0.25,0,0,2,0,2
2011,M,25-34,B Felony,Other Violent,Parole,6JD,1.0,0,0,1,0,0
2011,F,45-54,Aggravated Misdemeanor,OWI,Parole,7JD,1.0,0,0,1,0,0
2011,M,45-54,Felony - Enhancement to Original Penalty,Other Criminal,Discharged – End of Sentence,N/A,0.1111111111111111,0,0,4,0,5
2011,M,Under 25,C Felony,Assault,Discharged – End of Sentence,N/A,1.0,0,0,0,0,1
2011,M,35-44,Felony - Enhancement to Original Penalty,Trafficking,Discharged – End of Sentence,N/A,1.0,0,0,1,0,0
2011,M,Under 25,Aggravated Misdemeanor,Other Public Order,Discharged – End of Sentence,N/A,0.16666666666666666,0,0,0,0,6
2011,M,35-44,D Felony,Sex,Special Sentence,6JD,1.0,0,0,0,0,1
2011,F,45-54,D Felony,Theft,Parole,5JD,0.5,0,0,0,0,2
2011,M,45-54,Felony - Enhancement to Original Penalty,Other Criminal,Parole,Interstate Compact,0.5,0,0,0,0,2
2011,M,Under 25,D Felony,Vandalism,Parole,5JD,1.0,0,0,0,0,1
2011,M,Under 25,D Felony,Weapons,Parole,1JD,1.0,0,0,0,0,1
2011,F,35-44,D Felony,Theft,Parole,1JD,1.0,0,0,0,0,1
2011,M,Under 25,D Felony,Assault,Special Sentence,Interstate Compact,1.0,0,0,1,0,0
2011,M,55 and Older,Aggravated Misdemeanor,Theft,Parole,N/A,1.0,0,0,0,0,1
2014,M,25-34,D Felony,Trafficking,N/A,N/A,0.0975609756097561,1,0,13,5,22
2011,F,25-34,C Felony,Arson,Parole,1JD,1.0,0,0,1,0,0
2011,F,Under 25,C Felony,Other Criminal,Parole,7JD,1.0,0,0,1,0,0
2011,F,Under 25,D Felony,Forgery/Fraud,Discharged – End of Sentence,N/A,0.3333333333333333,0,0,0,0,3
2011,F,35-44,D Felony,Forgery/Fraud,Parole,1JD,1.0,0,0,0,0,1
2011,M,55 and Older,D Felony,Drug Possession,Discharged – End of Sentence,N/A,1.0,0,0,0,0,1
2011,F,35-44,Aggravated Misdemeanor,Theft,Parole,5JD,0.5,0,0,1,0,1
2011,F,45-54,Aggravated Misdemeanor,Traffic,Discharged – End of Sentence,N/A,1.0,0,0,0,1,0
2011,M,25-34,Aggravated Misdemeanor,Vandalism,Discharged – End of Sentence,N/A,0.6666666666666666,0,0,1,0,2
2011,M,Under 25,D Felony,Vandalism,Discharged – End of Sentence,N/A,0.125,0,0,1,0,7
2011,M,25-34,Aggravated Misdemeanor,Drug Possession,Discharged – End of Sentence,N/A,0.14285714285714285,0,0,3,0,4
2011,M,25-34,Aggravated Misdemeanor,Alcohol,Parole,3JD,0.5,0,0,1,0,1
2011,M,55 and Older,C Felony,Burglary,Discharged – End of Sentence,N/A,0.5,0,0,0,0,2
2011,M,45-54,C Felony,Trafficking,Parole,1JD,0.25,0,0,1,0,3
2011,M,25-34,Serious Misdemeanor,Drug Possession,Discharged – End of Sentence,N/A,1.0,0,0,0,0,1
2011,M,35-44,C Felony,Robbery,Parole,7JD,1.0,0,0,1,0,0
2011,M,45-54,B Felony,Trafficking,Parole,Interstate Compact,0.16666666666666666,0,0,0,4,2
2011,M,45-54,Aggravated Misdemeanor,Sex,Special Sentence,Interstate Compact,1.0,0,0,1,0,0
2011,M,35-44,D Felony,Theft,Parole,8JD,0.3333333333333333,0,0,0,0,3
2011,M,55 and Older,Aggravated Misdemeanor,OWI,Parole,1JD,1.0,0,0,0,0,1
2011,M,25-34,C Felony,Other Violent,Parole,Interstate Compact,0.5,0,0,0,1,1
2011,M,45-54,Felony - Enhancement to Original Penalty,Other Criminal,Parole,8JD,0.25,0,0,0,0,4
2011,M,25-34,C Felony,Other Criminal,Discharged – End of Sentence,N/A,1.0,0,0,0,0,1
2011,M,25-34,D Felony,Sex,Special Sentence,5JD,1.0,0,0,0,0,1
2011,M,45-54,C Felony,Sex,Discharged – End of Sentence,N/A,0.1,1,0,0,0,9
2011,M,Under 25,Aggravated Misdemeanor,Weapons,Parole,5JD,0.5,0,0,1,0,1
2014,M,35-44,D Felony,Burglary,N/A,N/A,0.17647058823529413,0,0,4,1,12
2011,F,Under 25,Aggravated Misdemeanor,Theft,Discharged – End of Sentence,N/A,0.2,0,0,2,0,3
2011,M,Under 25,C Felony,Other Violent,Parole,5JD,1.0,0,0,0,0,1
2011,M,35-44,B Felony,Other Violent,Parole,1JD,1.0,0,0,1,0,0
2011,F,35-44,D Felony,Forgery/Fraud,Parole,4JD,1.0,0,0,0,0,1
2011,M,55 and Older,D Felony,OWI,Discharged – End of Sentence,N/A,0.1111111111111111,1,0,2,1,5
2011,M,25-34,Aggravated Misdemeanor,Alcohol,Parole,1JD,0.5,0,0,0,0,2
2011,M,35-44,Felony - Enhancement to Original Penalty,Trafficking,Parole,4JD,0.5,0,0,0,0,2
2011,M,Under 25,C Felony,Sex,Discharged – End of Sentence,N/A,0.3333333333333333,0,0,0,0,3
2011,M,25-34,D Felony,Other Violent,Parole,1JD,1.0,0,0,0,0,1
2011,M,35-44,C Felony,Sex,Special Sentence,6JD,0.5,0,0,0,0,2
2011,F,35-44,D Felony,Burglary,Parole,4JD,1.0,0,0,0,0,1
2011,M,Under 25,C Felony,Other Violent,Parole,Interstate Compact,0.3333333333333333,0,0,1,1,1
2011,F,Under 25,Aggravated Misdemeanor,Forgery/Fraud,Parole,2JD,0.5,0,0,0,0,2
2011,M,45-54,C Felony,Theft,Discharged – End of Sentence,N/A,0.25,0,0,1,0,3
2011,F,45-54,D Felony,Forgery/Fraud,Discharged – End of Sentence,N/A,0.2,0,0,2,0,3
2011,M,35-44,B Felony,Other Criminal,Parole,5JD,0.5,0,0,2,0,0
2011,M,25-34,Aggravated Misdemeanor,Vandalism,Parole,3JD,0.0,0,0,0,0,1
2011,M,25-34,D Felony,Weapons,Parole,5JD,0.0,0,0,2,0,4
2011,M,25-34,D Felony,Weapons,Parole,8JD,0.0,0,0,1,0,0
2011,M,Under 25,D Felony,Weapons,Parole,Interstate Compact,0.0,0,0,1,0,1
2011,F,35-44,D Felony,Weapons,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2011,M,25-34,Aggravated Misdemeanor,Weapons,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2011,M,45-54,D Felony,Weapons,Discharged – End of Sentence,N/A,0.0,0,0,0,0,2
2011,F,35-44,D Felony,Weapons,Parole,1JD,0.0,0,0,0,0,1
2011,M,25-34,D Felony,Weapons,Parole,4JD,0.0,0,0,0,0,1
2011,M,25-34,Aggravated Misdemeanor,Weapons,Parole,6JD,0.0,0,0,0,0,1
2011,M,35-44,D Felony,Weapons,Parole,2JD,0.0,0,0,0,0,1
2011,M,35-44,D Felony,Weapons,Parole,3JD,0.0,0,0,0,0,2
2011,M,35-44,D Felony,Weapons,Parole,7JD,0.0,0,0,0,0,1
2011,M,45-54,D Felony,Weapons,Parole,5JD,0.0,0,0,0,0,3
2011,M,55 and Older,D Felony,Weapons,Parole,8JD,0.0,0,0,0,0,1
2011,M,Under 25,D Felony,Weapons,Parole,2JD,0.0,0,0,0,0,1
2011,M,Under 25,D Felony,Weapons,Parole,7JD,0.0,0,0,0,0,2
2011,M,35-44,D Felony,Vandalism,Discharged – End of Sentence,N/A,0.0,0,0,1,0,3
2011,M,45-54,C Felony,Vandalism,Discharged – End of Sentence,N/A,0.0,0,0,1,0,0
2011,M,25-34,Aggravated Misdemeanor,Vandalism,Parole,1JD,0.0,0,0,1,0,0
2011,M,25-34,D Felony,Vandalism,Parole,5JD,0.0,0,0,1,0,1
2011,M,25-34,D Felony,Vandalism,Parole,7JD,0.0,0,0,1,0,0
2011,M,35-44,Aggravated Misdemeanor,Vandalism,Parole,N/A,0.0,0,0,1,0,0
2011,M,35-44,D Felony,Vandalism,Parole,Interstate Compact,0.0,0,0,0,1,0
2011,M,Under 25,D Felony,Vandalism,Parole,3JD,0.0,0,0,0,2,1
2011,M,Under 25,D Felony,Vandalism,Parole,4JD,0.0,0,0,0,1,0
2011,M,Under 25,D Felony,Vandalism,Parole,Interstate Compact,0.0,0,0,0,2,0
2011,F,25-34,Aggravated Misdemeanor,Vandalism,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2011,M,45-54,D Felony,Vandalism,Discharged – End of Sentence,N/A,0.0,0,0,0,0,2
2011,M,55 and Older,Aggravated Misdemeanor,Vandalism,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2011,F,Under 25,D Felony,Vandalism,Parole,7JD,0.0,0,0,0,0,1
2011,M,25-34,C Felony,Vandalism,Parole,1JD,0.0,0,0,0,0,1
2011,M,35-44,Aggravated Misdemeanor,Vandalism,Parole,5JD,0.0,0,0,0,0,1
2011,M,35-44,C Felony,Vandalism,Parole,7JD,0.0,0,0,0,0,1
2011,M,45-54,C Felony,Vandalism,Parole,4JD,0.0,0,0,0,0,1
2011,M,Under 25,C Felony,Vandalism,Parole,3JD,0.0,0,0,0,0,1
2011,M,Under 25,C Felony,Vandalism,Parole,5JD,0.0,0,0,0,0,1
2011,M,Under 25,C Felony,Vandalism,Parole,8JD,0.0,0,0,0,0,2
2011,M,Under 25,Aggravated Misdemeanor,Vandalism,Parole,N/A,0.0,0,0,0,0,1
2011,F,25-34,C Felony,Trafficking,Parole,3JD,0.0,1,0,0,0,4
2011,M,35-44,C Felony,Trafficking,Parole,Interstate Compact,0.0,0,1,0,4,2
2011,F,25-34,C Felony,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,2,0,3
2011,F,45-54,C Felony,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,2,0,1
2011,M,45-54,C Felony,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,4,0,7
2011,M,Under 25,C Felony,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,2,1,3
2011,F,25-34,C Felony,Trafficking,Parole,1JD,0.0,0,0,1,0,0
2011,F,35-44,D Felony,Trafficking,Parole,5JD,0.0,0,0,1,0,1
2011,F,45-54,Felony - Enhancement to Original Penalty,Trafficking,Parole,5JD,0.0,0,0,1,0,2
2011,F,55 and Older,C Felony,Trafficking,Parole,1JD,0.0,0,0,1,0,0
2011,F,55 and Older,C Felony,Trafficking,Parole,5JD,0.0,0,0,1,0,3
2011,M,25-34,Felony - Enhancement to Original Penalty,Trafficking,Parole,7JD,0.0,0,0,2,0,0
2011,M,25-34,B Felony,Trafficking,Parole,7JD,0.0,0,0,2,2,1
2014,M,25-34,B Felony,Trafficking,Parole,5JD,0.47368421052631576,0,0,4,1,14
2011,M,25-34,C Felony,Trafficking,Parole,N/A,0.0,0,0,1,1,1
2011,M,35-44,D Felony,Trafficking,Parole,1JD,0.0,0,0,1,0,0
2011,M,35-44,D Felony,Trafficking,Parole,5JD,0.0,0,0,1,0,1
2011,M,35-44,D Felony,Trafficking,Parole,6JD,0.0,0,0,1,0,1
2014,F,Under 25,D Felony,Burglary,N/A,N/A,0.0,0,0,1,0,3
2011,M,35-44,Felony - Enhancement to Original Penalty,Trafficking,Parole,Interstate Compact,0.0,0,0,1,2,0
2011,M,35-44,Felony - Enhancement to Original Penalty,Trafficking,Parole,N/A,0.0,0,0,1,0,0
2011,M,45-54,C Felony,Trafficking,Parole,6JD,0.0,0,0,1,0,2
2011,M,45-54,Felony - Enhancement to Original Penalty,Trafficking,Parole,7JD,0.0,0,0,1,0,0
2011,M,45-54,C Felony,Trafficking,Parole,Interstate Compact,0.0,0,0,2,3,2
2011,M,55 and Older,B Felony,Trafficking,Parole,7JD,0.0,0,0,1,0,1
2011,M,Under 25,Felony - Enhancement to Original Penalty,Trafficking,Parole,1JD,0.0,0,0,2,0,0
2011,M,Under 25,C Felony,Trafficking,Parole,6JD,0.0,0,0,1,0,1
2011,M,Under 25,D Felony,Trafficking,Parole,7JD,0.0,0,0,2,1,0
2011,M,Under 25,D Felony,Trafficking,Parole,N/A,0.0,0,0,2,0,1
2011,M,45-54,D Felony,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,0,1,1
2011,M,25-34,B Felony,Trafficking,Parole,3JD,0.0,0,0,0,2,1
2011,M,35-44,B Felony,Trafficking,Parole,N/A,0.0,0,0,0,1,0
2011,M,35-44,B Felony,Trafficking,Parole,Interstate Compact,0.0,0,0,0,6,0
2011,M,35-44,D Felony,Trafficking,Parole,Interstate Compact,0.0,0,0,0,2,1
2011,M,Under 25,B Felony,Trafficking,Parole,3JD,0.0,0,0,0,1,0
2011,M,Under 25,D Felony,Trafficking,Parole,Interstate Compact,0.0,0,0,0,2,1
2011,M,Under 25,B Felony,Trafficking,Parole,Interstate Compact,0.0,0,0,0,2,0
2011,F,35-44,D Felony,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2011,F,Under 25,D Felony,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2011,M,45-54,Felony - Enhancement to Original Penalty,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2011,M,55 and Older,Felony - Enhancement to Original Penalty,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2011,M,55 and Older,B Felony,Trafficking,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2011,F,25-34,Felony - Enhancement to Original Penalty,Trafficking,Parole,3JD,0.0,0,0,0,0,1
2011,F,25-34,B Felony,Trafficking,Parole,5JD,0.0,0,0,0,0,4
2011,F,25-34,Felony - Enhancement to Original Penalty,Trafficking,Parole,5JD,0.0,0,0,0,0,1
2011,F,25-34,C Felony,Trafficking,Parole,8JD,0.0,0,0,0,0,2
2011,F,35-44,B Felony,Trafficking,Parole,1JD,0.0,0,0,0,0,1
2011,F,35-44,Felony - Enhancement to Original Penalty,Trafficking,Parole,1JD,0.0,0,0,0,0,1
2011,F,35-44,C Felony,Trafficking,Parole,2JD,0.0,0,0,0,0,1
2011,F,35-44,C Felony,Trafficking,Parole,3JD,0.0,0,0,0,0,1
2011,F,35-44,C Felony,Trafficking,Parole,4JD,0.0,0,0,0,0,1
2011,F,35-44,B Felony,Trafficking,Parole,4JD,0.0,0,0,0,0,1
2011,F,35-44,Felony - Enhancement to Original Penalty,Trafficking,Parole,5JD,0.0,0,0,0,0,2
2011,F,35-44,B Felony,Trafficking,Parole,5JD,0.0,0,0,0,0,2
2011,F,35-44,C Felony,Trafficking,Parole,6JD,0.0,0,0,0,0,1
2011,F,35-44,C Felony,Trafficking,Parole,7JD,0.0,0,0,0,0,1
2011,F,35-44,C Felony,Trafficking,Parole,8JD,0.0,0,0,0,0,2
2011,F,35-44,B Felony,Trafficking,Parole,Interstate Compact,0.0,0,0,0,0,1
2011,F,35-44,C Felony,Trafficking,Parole,Interstate Compact,0.0,0,0,0,0,2
2011,F,35-44,Aggravated Misdemeanor,Trafficking,Parole,Interstate Compact,0.0,0,0,0,0,1
2011,F,35-44,C Felony,Trafficking,Parole,N/A,0.0,0,0,0,0,1
2011,F,45-54,C Felony,Trafficking,Parole,1JD,0.0,0,0,0,0,1
2011,F,45-54,C Felony,Trafficking,Parole,2JD,0.0,0,0,0,0,1
2011,F,45-54,C Felony,Trafficking,Parole,4JD,0.0,0,0,0,0,1
2011,F,45-54,B Felony,Trafficking,Parole,5JD,0.0,0,0,0,0,4
2011,F,45-54,C Felony,Trafficking,Parole,5JD,0.0,0,0,0,0,3
2011,F,45-54,D Felony,Trafficking,Parole,5JD,0.0,0,0,0,0,1
2011,F,45-54,C Felony,Trafficking,Parole,7JD,0.0,0,0,0,0,1
2011,F,45-54,C Felony,Trafficking,Parole,8JD,0.0,0,0,0,0,1
2011,F,45-54,B Felony,Trafficking,Parole,Interstate Compact,0.0,0,0,0,0,1
2011,F,55 and Older,B Felony,Trafficking,Parole,5JD,0.0,0,0,0,0,1
2011,F,55 and Older,B Felony,Trafficking,Parole,6JD,0.0,0,0,0,0,1
2011,F,55 and Older,C Felony,Trafficking,Parole,8JD,0.0,0,0,0,0,1
2011,F,Under 25,C Felony,Trafficking,Parole,1JD,0.0,0,0,0,0,1
2011,F,Under 25,D Felony,Trafficking,Parole,8JD,0.0,0,0,0,0,1
2011,F,Under 25,D Felony,Trafficking,Parole,Interstate Compact,0.0,0,0,0,0,1
2011,M,25-34,Felony - Enhancement to Original Penalty,Trafficking,Parole,2JD,0.0,0,0,0,0,2
2011,M,25-34,B Felony,Trafficking,Parole,6JD,0.0,0,0,0,0,2
2011,M,25-34,D Felony,Trafficking,Parole,8JD,0.0,0,0,0,0,2
2011,M,35-44,B Felony,Trafficking,Parole,2JD,0.0,0,0,0,0,1
2011,M,35-44,B Felony,Trafficking,Parole,3JD,0.0,0,0,0,0,1
2011,M,35-44,B Felony,Trafficking,Parole,4JD,0.0,0,0,0,0,1
2011,M,35-44,D Felony,Trafficking,Parole,4JD,0.0,0,0,0,0,1
2011,M,35-44,C Felony,Trafficking,Parole,6JD,0.0,0,0,0,0,2
2011,M,35-44,D Felony,Trafficking,Parole,8JD,0.0,0,0,0,0,3
2011,M,35-44,Felony - Enhancement to Original Penalty,Trafficking,Parole,8JD,0.0,0,0,0,0,1
2011,M,35-44,B Felony,Trafficking,Parole,8JD,0.0,0,0,0,0,1
2011,M,45-54,D Felony,Trafficking,Parole,5JD,0.0,0,0,0,0,1
2011,M,45-54,Felony - Enhancement to Original Penalty,Trafficking,Parole,6JD,0.0,0,0,0,0,1
2011,M,45-54,B Felony,Trafficking,Parole,6JD,0.0,0,0,0,0,1
2011,M,45-54,C Felony,Trafficking,Parole,7JD,0.0,0,0,0,0,1
2011,M,45-54,D Felony,Trafficking,Parole,7JD,0.0,0,0,0,0,1
2011,M,45-54,D Felony,Trafficking,Parole,8JD,0.0,0,0,0,0,1
2011,M,45-54,Felony - Enhancement to Original Penalty,Trafficking,Parole,Interstate Compact,0.0,0,0,0,0,2
2011,M,45-54,C Felony,Trafficking,Parole,N/A,0.0,0,0,0,0,1
2011,M,55 and Older,B Felony,Trafficking,Parole,1JD,0.0,0,0,0,0,3
2011,M,55 and Older,D Felony,Trafficking,Parole,2JD,0.0,0,0,0,0,1
2011,M,55 and Older,C Felony,Trafficking,Parole,3JD,0.0,0,0,0,0,1
2011,M,55 and Older,D Felony,Trafficking,Parole,4JD,0.0,0,0,0,0,1
2014,M,35-44,C Felony,Assault,Parole,1JD,0.0,0,0,0,0,2
2011,M,55 and Older,C Felony,Trafficking,Parole,5JD,0.0,0,0,0,0,2
2011,M,55 and Older,C Felony,Trafficking,Parole,6JD,0.0,0,0,0,0,1
2011,M,55 and Older,D Felony,Trafficking,Parole,8JD,0.0,0,0,0,0,2
2011,M,55 and Older,C Felony,Trafficking,Parole,Interstate Compact,0.0,0,0,0,0,1
2011,M,55 and Older,D Felony,Trafficking,Parole,Interstate Compact,0.0,0,0,0,0,1
2011,M,Under 25,D Felony,Trafficking,Parole,1JD,0.0,0,0,0,0,1
2011,M,Under 25,B Felony,Trafficking,Parole,1JD,0.0,0,0,0,0,2
2011,M,Under 25,B Felony,Trafficking,Parole,2JD,0.0,0,0,0,0,1
2011,F,Under 25,Aggravated Misdemeanor,Traffic,Discharged – End of Sentence,N/A,0.0,0,0,1,0,1
2011,M,25-34,Aggravated Misdemeanor,Traffic,Parole,1JD,0.0,0,0,1,0,0
2011,M,25-34,Aggravated Misdemeanor,Traffic,Parole,2JD,0.0,0,0,1,0,2
2011,M,25-34,D Felony,Traffic,Parole,Interstate Compact,0.0,0,0,1,0,0
2011,M,25-34,Aggravated Misdemeanor,Traffic,Parole,Interstate Compact,0.0,0,0,1,0,0
2011,M,25-34,Aggravated Misdemeanor,Traffic,Parole,N/A,0.0,0,0,1,0,0
2011,M,35-44,D Felony,Traffic,Parole,1JD,0.0,0,0,1,0,0
2011,M,Under 25,D Felony,Traffic,Parole,7JD,0.0,0,0,1,0,0
2011,F,25-34,Aggravated Misdemeanor,Traffic,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2011,F,35-44,Aggravated Misdemeanor,Traffic,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2011,M,45-54,D Felony,Traffic,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2011,M,55 and Older,Aggravated Misdemeanor,Traffic,Discharged – End of Sentence,N/A,0.0,0,0,0,0,1
2011,F,25-34,Aggravated Misdemeanor,Traffic,Parole,7JD,0.0,0,0,0,0,1
2011,F,25-34,Aggravated Misdemeanor,Traffic,Parole,8JD,0.0,0,0,0,0,1
2011,F,45-54,Aggravated Misdemeanor,Traffic,Parole,1JD,0.0,0,0,0,0,1
2011,F,Under 25,Aggravated Misdemeanor,Traffic,Parole,5JD,0.0,0,0,0,0,1
2011,M,25-34,Aggravated Misdemeanor,Traffic,Parole,4JD,0.0,0,0,0,0,1
2011,M,25-34,D Felony,Traffic,Parole,5JD,0.0,0,0,0,0,1
2011,M,25-34,Aggravated Misdemeanor,Traffic,Parole,6JD,0.0,0,0,0,0,1
2011,M,25-34,Aggravated Misdemeanor,Traffic,Parole,7JD,0.0,0,0,0,0,1
2011,M,35-44,Aggravated Misdemeanor,Traffic,Parole,2JD,0.0,0,0,0,0,1
2011,M,35-44,Aggravated Misdemeanor,Traffic,Parole,4JD,0.0,0,0,0,0,2
2011,M,35-44,Aggravated Misdemeanor,Traffic,Parole,5JD,0.0,0,0,0,0,2
2011,M,45-54,Aggravated Misdemeanor,Traffic,Parole,1JD,0.0,0,0,0,0,1
2011,M,45-54,D Felony,Traffic,Parole,3JD,0.0,0,0,0,0,1
2011,M,45-54,Aggravated Misdemeanor,Traffic,Parole,5JD,0.0,0,0,0,0,1
2011,M,45-54,Aggravated Misdemeanor,Traffic,Parole,7JD,0.0,0,0,0,0,2
2011,M,Under 25,D Felony,Traffic,Parole,Interstate Compact,0.0,0,0,0,0,3
2011,M,Under 25,Aggravated Misdemeanor,Traffic,Parole,N/A,0.0,0,0,0,0,1
2011,F,35-44,D Felony,Theft,Discharged – End of Sentence,N/A,0.0,1,0,1,0,0
2011,F,55 and Older,D Felony,Theft,Parole,Interstate Compact,0.0,1,0,0,0,0
2011,F,25-34,Aggravated Misdemeanor,Theft,Parole,N/A,0.0,0,1,0,0,0
2011,F,25-34,D Felony,Theft,Discharged – End of Sentence,N/A,0.0,0,0,2,1,1
2011,F,35-44,C Felony,Theft,Discharged – End of Sentence,N/A,0.0,0,0,1,0,0
2011,F,Under 25,C Felony,Theft,Discharged – End of Sentence,N/A,0.0,0,0,1,0,0
2011,F,25-34,Aggravated Misdemeanor,Theft,Parole,5JD,0.0,0,0,1,0,1
2011,F,25-34,D Felony,Theft,Parole,8JD,0.0,0,0,1,0,1
2011,F,35-44,C Felony,Theft,Parole,1JD,0.0,0,0,1,0,0
2011,F,35-44,D Felony,Theft,Parole,6JD,0.0,0,0,1,0,0
2011,F,35-44,D Felony,Theft,Parole,7JD,0.0,0,0,1,0,0
2011,F,35-44,Aggravated Misdemeanor,Theft,Parole,8JD,0.0,0,0,1,0,0
2011,F,45-54,C Felony,Theft,Parole,7JD,0.0,0,0,1,0,0
2011,F,55 and Older,Aggravated Misdemeanor,Theft,Parole,1JD,0.0,0,0,1,0,1
2011,M,25-34,C Felony,Theft,Parole,7JD,0.0,0,0,1,0,2
2011,M,25-34,C Felony,Theft,Parole,8JD,0.0,0,0,1,0,0
2011,M,25-34,D Felony,Theft,Parole,1JD,0.0,0,0,1,0,2
2011,M,25-34,C Felony,Theft,Parole,Interstate Compact,0.0,0,0,2,0,1
2011,M,35-44,D Felony,Theft,Parole,Interstate Compact,0.0,0,0,1,0,1
2011,M,45-54,C Felony,Theft,Parole,Interstate Compact,0.0,0,0,1,0,0
